country,code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ARUBA,ABW,764804469.273743,872067039.106145,958659217.877095,1083240223.46369,1245810055.86592,1320670391.06145,1379888268.15642,1531843575.41899,1665363128.49162,1722905027.93296,1873452513.96648,1896456983.24022,1961843575.41899,2044111731.84358,2254830726.25698,2360017318.43575,2469782681.56425,2677641340.78212,2843024581.00559,2553793296.08939,2453597206.70391,2637859217.87709,2615208379.88827,2727849162.01117,2790849720.67039,2962906703.91061,2983637430.1676,3092427932.96089,3276187709.49721,3346623191.45988,2471419181.71957,2880902798.92288,3324034443.26581,3834729616.12027,4265650673.00236
AFGHANISTAN,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3521418059.92345,2813571753.87253,3825701438.99963,4520946818.54581,5224896718.67782,6203256538.70967,6971758282.29351,9747886187.39393,10109297047.5432,12416152732.0567,15856668555.8336,17805098206.3141,19907329777.5872,20146416757.5987,20497128555.6972,19134221644.7325,18116572395.0772,18753456497.8159,18053222687.4126,18799444490.1128,19955929052.1496,14259995441.0759,14497243872.1337,17152234636.8715,0.0
ANGOLA,AGO,11229515599.3048,10603784541.197,8307810973.58848,5768720421.61367,4438321017.39068,5538749259.94714,7526421519.16979,7648380195.59902,6506221615.78722,6152923310.44546,9129594970.15301,8936079117.73136,17311512432.451,20342128111.9753,26997977896.5924,41396636383.3725,58653659979.711,73037821926.6813,98790432989.4067,81705175408.3893,95546919754.7633,125551634704.473,143572907527.976,148845200696.792,153449860496.402,102543067840.732,59878249719.3279,84376935689.3366,89512794227.495,80734428592.5368,58852456453.8769,79559543805.2963,131212208930.344,107167747140.127,100998916781.079
ALBANIA,ALB,2028553750.0,1099559027.77778,652174990.837304,1185315468.46295,1880950864.41311,2905092798.61916,3234486232.04392,2293666029.99318,2600356999.20614,3283941510.49964,3584570164.85195,4059064033.13379,4515003116.68036,5801712040.48463,7406645793.44038,8256658249.8128,9150528132.17633,11116937869.8568,13258506375.4518,12335540656.1006,12086545641.299,12973755874.5365,12246499747.9714,12796985886.1478,13296322588.1684,11470171826.9575,11988668784.6628,13258268435.6048,15379508329.7568,15585111614.0376,15241458744.5927,18031989573.0294,19017247013.8821,23491242727.4082,27046429296.6673
ANDORRA,AND,1028989692.06787,1106891361.53948,1209992020.29543,1007090269.86956,1017544068.8408,1178745282.8678,1224024139.21295,1180645571.8643,1211953994.05714,1240295198.78331,1432606296.26722,1548265926.7572,1764279817.95815,2366941614.03001,2900244053.52758,3161084846.97686,3459336818.03742,3957627536.75624,4102317468.30156,3688974807.45037,3449925693.58181,3629133062.55168,3188653258.61001,3193513470.43941,3271686452.47686,2789882569.1005,2896611878.6258,3000160414.63795,3218418631.67579,3155150255.91195,2891002460.29153,3324648075.56293,3380611694.73392,3785065524.84754,4039842405.48117
UNITED ARAB EMIRATES,ARE,50701443748.2975,51552165622.4462,54239171887.769,55625170253.337,59305093979.842,65743666575.8649,73571233996.1863,78839008444.5655,75674336283.1858,84445473110.9598,104337372362.151,103311640571.818,109816201497.617,124346358066.712,147824370319.946,180617467964.602,222116541865.214,257916133424.098,315474615738.598,253547358747.447,307736419332.88,368881143635.126,392793464942.138,409632675289.313,424935874744.724,381973042886.317,381717086453.37,403365010211.028,440560108917.631,433926208304.969,357161878829.135,422441388699.796,511403403675.97,522622191967.325,552324846834.581
ARGENTINA,ARG,141352654305.163,189719984268.485,228778917308.17,236741715015.015,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,97724004251.8602,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530158122010.442,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,486564085480.036,633993756301.08,649461687959.174,638365455340.04
ARMENIA,ARM,2256863448.77086,2069870129.87013,1272835453.42634,1201312829.27524,1315158636.67553,1468317435.20148,1596968946.23708,1639492444.76152,1893726437.26462,1845482173.02732,1911563668.85006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469511.10191,6384452066.5146,9206301269.79164,11662040713.8753,8647937081.2562,9260285755.62424,10142111824.5835,10619320682.9474,11121464437.0415,11609513246.7958,10553337518.414,10546136235.5219,11527458709.0158,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513506553.1251,24185982215.6543,25955275380.0321
AMERICAN SAMOA,ASM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0,612000000.0,639000000.0,647000000.0,721000000.0,750000000.0,871000000.0,0.0,0.0
ANTIGUA AND BARBUDA,ATG,478718518.518519,504337037.037037,525133333.333333,565662962.962963,625081481.481481,616051851.851852,679140740.740741,734422222.222222,789788888.888889,835544444.444444,901003703.703704,877774074.074074,898092592.592592,948100000.0,1026329629.62963,1143896296.2963,1303674074.07407,1487381481.48148,1557640740.74074,1386518518.51852,1298348148.14815,1287359259.25926,1364729629.62963,1325496296.2963,1378707407.40741,1437485185.18519,1489603703.7037,1534855555.55556,1661529629.62963,1726448148.14815,1411637037.03704,1602125925.92593,1866566666.66667,2005785185.18518,2207622874.07407
AUSTRALIA,AUS,311840666465.053,326416407860.792,325982966981.415,312568858909.5,323269456935.317,368725126225.126,401962517479.122,436321902767.408,400361527504.578,390347787943.351,416901962163.479,380360222861.197,396436967262.563,468517181129.878,615643050220.515,696811489612.816,749708370332.989,856603595823.192,1058448244063.77,931761689770.843,1152566632022.13,1402939868653.4,1552728401401.58,1583737461925.39,1474677007565.64,1356805839935.9,1211588128417.61,1330890554614.09,1433144978761.67,1398349602956.35,1333336461648.09,1560617493202.69,1695627535475.8,1734451264655.6,1757022451652.83
AUSTRIA,AUT,165811372382.912,173113449616.971,194314032056.098,189634029338.696,202738023129.743,240094169510.031,235952581232.129,211724812267.448,217068085815.918,216421809125.916,196181599831.287,196477206829.33,212837224022.813,260779834340.097,299210411454.823,313952317330.776,333905979332.481,386760177589.497,429234399096.173,399290118782.429,389827789217.634,428954737064.057,406750487603.59,426580502769.417,438556021078.034,379546097300.633,393687359770.273,414926138132.691,452582294972.775,442983642371.842,434397601557.696,480466363176.806,473221298968.216,516670509628.876,534790720466.822
AZERBAIJAN,AZE,8884848484.84848,5344000000.0,444658671.586716,1570392598.14954,1193141110.35043,2417331192.9526,3176507376.31836,3962362387.47922,4446368570.6901,4581248566.50158,5272615722.96892,5707616203.72011,6236087738.28284,7276413079.11451,8680405740.94125,13245421880.834,20981929497.6188,33049419431.2244,48851293785.4483,44292427184.9492,52909294791.9262,65952796427.9473,69679944504.1972,74160560123.6902,75239785452.1022,53076235354.746,37866996882.9157,40866627351.9817,47112470051.7701,48174235294.1176,42693000000.0,54825411764.7059,78807470588.2353,72428470588.2353,74315882352.9412
BURUNDI,BDI,1132101252.51817,1167398478.3459,1083037670.60484,938632612.026359,925030590.153683,1000428393.88528,869033856.317093,972896267.915425,893770740.207416,808077223.365746,870486065.883137,876794723.068586,825394519.423728,784654423.620476,915257323.3961,1117113079.73645,1273375078.44844,1356199387.42308,1611835857.04588,1775495032.424,2032135192.01248,2235812879.56709,2327402362.81574,2451624637.67157,2705826648.21019,2810532912.49975,2618093125.14687,2831362208.34039,2913411408.44783,2871555326.31029,3227847281.31544,3435598072.7935,4036192552.88879,3430949249.91221,3082433067.32634
BELGIUM,BEL,205331747947.851,210510999409.333,234781652446.675,224721795708.955,244884129491.198,288025588396.278,279201433224.756,252708051420.839,258528339631.029,258245733221.468,236792460312.471,236746141604.37,258383599375.177,318082528506.588,369214712443.206,385714762230.039,408259840868.823,470922156309.453,517328087920.078,485014525992.461,481556503720.001,527196649048.639,498414364944.961,524097026598.55,537987419164.351,461044767544.531,474271566739.729,500908767351.53,542638913427.921,536726344405.489,529694473501.791,598522422241.851,591085783326.267,651330595110.011,671370081636.406
BENIN,BEN,1959965330.14765,1986437796.53053,1695315305.70308,2274558082.76135,1598075943.86774,2169627137.9207,2361116449.39308,2268301646.46707,2455092686.34712,3677393998.74486,3519991440.47913,3666222635.13875,4194342686.2178,5349258094.48239,6190270380.49856,6567654954.38903,7034111314.88812,8169048382.83875,9787734526.23965,9738626517.00319,9535345015.78355,10693321363.6574,11141358115.8991,12517845123.9315,13284527846.9081,11388160996.7738,11821065853.3838,12701655836.9467,14262408089.9261,14391686313.4641,15686741883.934,17687623530.3355,17425405090.862,19673291004.1444,21482643706.4249
BURKINA FASO,BFA,3101300778.56414,3135045584.08387,3356692505.18266,3199536465.23328,1895290637.09504,2379517975.28056,2586550595.41013,2447669101.95178,2804902367.14687,3389566712.66037,2968370087.59759,3190371080.94768,3622350062.96053,4740768142.67494,5451688537.60959,6146353173.34929,6547419820.38113,7625722836.76847,9451435490.11467,9450696873.34326,10109619740.6994,12080295977.5632,12561015156.5683,13444300485.8412,13943016076.7436,11832159315.6298,12833363045.3367,14106955615.3442,15890066221.2882,16032813503.3707,17725010532.5268,19697516284.3787,18622421394.6133,20112614449.2039,23124729853.0218
